SITE_ACCOUNT_NUMBER,ACCOUNT_STATUS,FIRST_COMMUNICATION_DATE,UPGRADE_DATE,SERVICE_ PLAN,MODEL,SALES_CHANNEL,DIRECT_INDIRECT_CHANNEL,SALES_SOURCE,COMPANY_SOURCE_NAME,FIRST_NAME,LAST_NAME,ADDRESS,CITY,STATE,ZIPCODE,EMAIL_ADDRESS,FEEDBACK,SATELLITE,SITE_TYPE_DESC,WARRANTY_NAME,MOST_RECENT_SALES_CHANNEL,GENDER,DATE_OF_BIRTH,AGE,INCOME,MARITAL_STATUS,PRESENCE_OF_CHILDREN,COMPUTER_OWNER
AMR-46360347,Active,9/25/2001,3/5/2004,Proplus,HN9000,,Indirect,TAG,HNS Customers,MELISSA,Young,849 ROCKSPRINGS HOUSE 4 0 0,ANTHONY, NM,88021,MELISSA.Young@hotmail.com,GOOD,0,Broadband Remote,0,Retail       ,2,12-10-1954,58,0,1,0,N
AMR-46366188,Active,1/21/2002,5/26/2005,Power150,HN7000S,,Indirect,Best Buy,HNS Customers,Charles,Watson,1027 AR SPRINGS CT 0 0,OAKLAND, CA,94601,Charles.Watson@wexzone.com,GOOD,SM5-VER-15K,Broadband Remote,0,HN9000 Upgrade,1,14-3-1969,43,0,2,0,
AMR-46366233,Active,5/21/2001,6/23/2003,Pro,HN7000S,Vars,Direct,TAG,HNS Customers,Franklin,Mccracken,26622 250 HWY LN 0 0,TURNERS STA, KY,40075,Franklin.Mccracken@hughes.net,GOOD,SPACEWAY3,Spaceway,0,Direct,2,28-12-1987,25,2,1,1,N
AMR-46368693,Active,3/16/2010,9/16/2013,Pro,HN7000S,,Indirect,AmericanSat,HNS Customers,Jerrya,Pusey,88 S. ROUTE WAY 0 0,SANTA YNEZ, CA,93460,Jerry.Pusey@gmail.com,GOOD,G17-HOR-6K,Spaceway,0,DPC Classic upgrade,,13-7-1978,34,5,0,0,
AMR-46368697,Active,11/2/2001,7/4/2005,Pro,HN7000S,Web orders,Indirect,LiveBridge Communications LLC,HNS Customers,MARIA,Taylor,9447 310TH RD 0 0 0,BANKS, OR,97106,MARIA.Taylor@geeksquad.com,BAD,AM9-VER-2K ,Spaceway,0,DPC Classic upgrade,2,28-11-1969,43,4,1,1,Y
AMR-46372069,Active,4/16/2002,3/12/2005,Basic,DW4020,Vars,Indirect,AmericanSat,HNS Customers,Don,SMILEY,3418 BOX ANDERSON 0 0 0,PINE BLUFF, AR,71603,Don.SMILEY@compuserve.com,GOOD,SPACEWAY3,Broadband Remote,0,DPC Classic upgrade,2,19-8-1970,42,4,1,0,N
AMR-46373520,Active,2/11/2002,10/26/2004,Elite,,Call Center,Indirect,OROURKE BROTHERS,HNS Customers,DAULTONa,Swenson,3315 S RD 0 0 0,FREDERICK, MD,21703,DAULTON.Swenson@rossaweb.net,GOOD,AM6-HOR-21K,Spaceway,0,DPC Classic upgrade,,10-2-1948,64,7,1,0,Y
AMR-46373744,Active,12/21/2001,8/20/2005,Pro,HN9000,Vars,Direct,NCC,HNS Customers,Brucea,Mccoy,4595 FALL MILL STE 0 0,DE BERRY, TX,75639,Bruce.Mccoy@compuserve.com,BAD,0,Broadband Remote,0,DPC Classic upgrade,1,20-2-1982,30,0,1,1,
AMR-46374107,Active,3/8/2002,5/26/2004,Pro,HN9000,,Indirect,Perfect 10,HNS Customers,Johna,Bridge,HWY HIGHWAY RD WEST 0 0,BATSON, TX,77519,John.Bridge@gmail.com,GOOD,G17-HOR-2K,Spaceway,0,Retail       ,1,26-11-1954,58,4,1,0,N
AMR-46375595,Active,12/19/2001,7/11/2003,Pro,HN9000,,Direct,NCC,HNS Customers,Davida,Didion,9535 HIGHWAY LANE 0 RT 0,GRANT TWP, MI,48032,David.Didion@wexzone.com,,G17-HOR-6K,Broadband Remote,0,Dealer-Generated Sale,1,3-9-1981,31,0,2,1,
AMR-46376539,Active,2/19/2002,12/3/2003,Power150,HN7000S,Web orders,Indirect,Perfect 10,HNS Customers,Jeff,Daniels,409 GOV 222ND ST 0 0,CARBONDALE, CO,81623,Jeff.Daniels@rossaweb.net,GOOD,SM5-VER-5K,Broadband Remote,0,Dealer-Generated Sale,1,19-2-1961,51,6,0,0,N
AMR-46377319,Active,1/9/2002,2/24/2005,Pro,HN7000S,Retail/others,Indirect,Hughes Web Order,HNS Customers,Benjamin,Poole,3149 N BOX 0 0 0,RILEY, OR,97758,Benjamin.Poole@sipnsearch.com,BAD,G17-HOR-6K,Broadband Remote,0,Classic Migration,1,6-12-1981,31,0,0,,Y
AMR-46377567,Active,7/13/2001,11/11/2003,Proplus,UNK,Vars,Direct,LiveBridge Communications LLC,HNS Customers,Stevea,Hull,12235 NOEL HOLLOW CLARA 0 0,GAITHERSBURG, MD,20877,Steve.Hull@compuserve.com,BAD,AM6-HOR-21K,Broadband Remote,0,Dealer-Generated Sale,2,22-10-1969,43,8,2,0,
AMR-46381084,Active,6/24/2001,4/3/2003,Power150,HN9000,Call Center,Indirect,TAG,HNS Customers,Thomas,Kist,PO LONG DR 0 0 0,CHIPLEY, FL,32428,Thomas.Kist@geeksquad.com,GOOD,SPACEWAY3,Broadband Remote,0,HN9000 Upgrade,1,12-12-1964,48,7,0,0,N
AMR-46382213,Active,7/5/2001,2/23/2005,Proplus,HN7000S,,Indirect,MiniDish,HNS Customers,Martina,Hou,6 NOEL 123 0 0 0,NATURAL DAM, AR,72948,Martin.Hou@rossaweb.net,GOOD,AM6-HOR-21K,Spaceway,0,HN7000 Upgrade,2,18-10-1988,24,5,0,0,N
AMR-46382952,Active,5/21/2001,4/19/2005,Pro,DW4000,Vars,Indirect,Hughes Web Order,HNS Customers,Michael,Lesko,1750 FM MILL 0 0 0,MICO, TX,78056,Michael.Lesko@hotmail.com,,,Broadband Remote,0,Retail       ,2,21-6-1974,38,4,0,0,N
AMR-46389384,Active,4/8/2002,1/18/2004,Home,UNK,Vars,Indirect,RS&I,HNS Customers,Dawna,Fuhrmann,PO ROCK 8098 0 RD. 0,HUTSONVILLE, IL,62433,Dawn.Fuhrmann@sipnsearch.com,,SM5-HOR-6K,Spaceway,0,HN7000 Upgrade,1,26-10-1958,54,0,0,0,N
AMR-46390418,Active,3/14/2002,5/16/2005,,HN7000S,Web orders,Direct,ACS,HNS Customers,RONALDa,DAFFIN,2360 LEWISTOWN RD,BELZONI, MS,39038,rwd@daffin.com,,SM5-VER-5K,Broadband Remote,,HN7000 Upgrade,1,.,.,,0,,
AMR-46392635,Active,2/5/2002,3/25/2004,Pro,HN7000S,,Direct,TAG,HNS Customers,Dorothya,Lipera,304 SPRING WAY SUITE 212 0,ZANESVILLE, OH,43701,Dorothy.Lipera@compuserve.com,,SM5-HOR-14K,Spaceway,0,DW6000 Upgrade,,5-2-1976,36,0,0,0,Y
AMR-46394945,Active,2/19/2002,4/5/2005,,HN7000S,Retail/others,,TAG,HNS Customers,Peter,Crihfield,11321 SEDILLO 907 223 0 0,GAITHERSBURG, MD,20878,Peter.Crihfield@geeksquad.com,,SPACEWAY3,Broadband Remote,0,HN7000 Upgrade,2,21-4-1979,33,D,1,0,
AMR-46401779,Active,2/4/2002,10/2/2003,Pro,HN7000S,Vars,Indirect,RS&I,HNS Customers,Roger,Marcisz,66500 RIDGE 96 RD 0 0,SAUK CITY, WI,53583,Roger.Marcisz@aol.com,GOOD,G16-VER-1K,Broadband Remote,0,Dealer-Generated Sale,2,18-3-1980,32,4,0,0,
AMR-46402005,Active,2/17/2003,5/29/2005,Basic_Ltd,DW4000,Sales Agents,,,HNS Customers,Michael,Hix,8370 W FULLAM ST,MINOCQUA, WI,54548,hixcrew@hughes.net,BAD,,Broadband Remote,,,2,2-11-1962,50,7,1,1,N
AMR-46403113,Active,1/19/2002,1/29/2005,Elite,UNK,Web orders,Direct,TAG,HNS Customers,John,SLETTEN,7995 WOODCREEK RD 0 0 0,CONIFER, CO,80433,John.SLETTEN@aol.com,GOOD,SM5-HOR-14K,Spaceway,0,DPC Classic upgrade,1,7-2-1974,38,8,,0,
AMR-46405202,Active,3/29/2002,8/13/2004,Home,DW4020,Web orders,Direct,Hughes Web Order,HNS Customers,Jack,Takemoto,25815 O ST,TROY, IL,62294,jjtakemoto@hughes.net,BAD,SM5-VER-15K,Broadband Remote,,HN7000 Upgrade,1,15-1-1950,62,A,1,0,N
AMR-46407547,Active,3/2/2002,1/14/2006,,DW4000,Retail/others,Indirect,Perfect 10,HNS Customers,Paula,Sheehan,1767 POTOMAC AVE,HEALDSBURG, CA,95448,psheehanjr@msn.com,BAD,,Broadband Remote,,Dealer-Generated Sale,1,10-3-1946,66,6,1,0,N
AMR-46415157,Active,3/24/2002,5/20/2004,Pro,DW4000,Retail/others,Indirect,,HNS Customers,Bryan,Cross,4049 BREEZY RD RD 0 0,COOL, CA,95614,Bryan.Cross@aol.com,GOOD,AM9-VER-2K ,Broadband Remote,0,Direct,,16-2-1974,38,9,1,1,N
AMR-46419043,Active,6/16/2001,11/13/2004,Basic,HN7000S,Vars,Indirect,AmericanSat,HNS Customers,Rick,Henderson,W5447 16 PKWY RD 0 0,LIPAN, TX,76462,Rick.Henderson@sipnsearch.com,GOOD,G17-HOR-6K,Broadband Remote,0,DW7000 Upgrade,2,13-10-1966,46,D,0,0,N
AMR-46420588,Active,4/14/2002,2/8/2005,Basic,DW7000,Vars,Direct,Verisign Web Ordering,HNS Customers,Maggia,Gilleece,PO HARRIS 551960 0 0 0,CONWAY, MA, ,Maggi.Gilleece@hughes.net,GOOD,SPACEWAY3,Broadband Remote,0,Dealer-Generated Sale,2,28-2-1967,45,4,2,1,
AMR-46421044,Active,6/25/2001,6/20/2005,,DW4000,Retail/others,Indirect,Hughes Web Order,HNS Customers,Robina,Magsarili,11000 POWERS ROAD 0 0 0,CMBRLND FRNCE, TN,37051,Robin.Magsarili@sipnsearch.com,BAD,G17-HOR-2K,Spaceway,0,DW6000 Upgrade,,1-12-1976,36,0,0,0,N
AMR-46423587,Active,7/13/2001,3/31/2004,Proplus,HN9000,,Indirect,ACS,HNS Customers,Ronald,Wilson,1200 STATE RD ROAD 0 0,AUBURN, WA,98092,Ronald.Wilson@hughes.net,GOOD,AM9-VER-22K,Broadband Remote,0,DW6000 Upgrade,1,14-10-1954,58,0,2,0,Y
AMR-46427351,Active,10/2/2001,1/3/2004,Home,,Sales Agents,Direct,TAG,HNS Customers,Kellya,Gramlisch,7154 4NE RUN B 0 0,MAPLETON, OR,97453,Kelly.Gramlisch@gmail.com,GOOD,G16-HOR-2K,Spaceway,0,Classic Migration,2,5-6-1976,36,6,0,0,N
AMR-46427887,Active,5/21/2001,10/2/2003,Proplus,HN7000S,Call Center,Indirect,TAG,HNS Customers,DANa,Schumann,1150 CONCORD DR 0 0 0,WILLITS, CA,95490,DAN.Schumann@wexzone.com,GOOD,SM5-HOR-14K,Broadband Remote,0,HN9000 Upgrade,2,11-9-1979,33,0,2,0,N
AMR-46428472,Active,10/11/2001,4/25/2003,Proplus,HN7000S,,Indirect,LiveBridge Communications LLC,HNS Customers,Ulus,Parker,12020 COUNTY RD BLVD 0 0,BATTLE GROUND, WA,98604,Ulus.Parker@compuserve.com,BAD,SM5-VER-7K,Broadband Remote,EXPRESS REPAIR HOME WITH COMMITMENT WITH TERM,Dealer-Generated Sale,1,21-9-1973,39,9,0,0,N
AMR-46428812,Active,3/19/2002,12/25/2003,Elite,UNK,,Indirect,RS&I,HNS Customers,JIMa,Christian,25 SW LN 0 0 0,MYERSVILLE, MD,21773,JIM.Christian@sipnsearch.com,GOOD,SM5-HOR-6K,Broadband Remote,EXPRESS REPAIR HOME WITH TERM,Direct,,24-3-1949,63,4,0,0,N
AMR-46432265,Active,3/1/2002,7/4/2005,,HN7000S,Call Center,Indirect,AmericanSat,HNS Customers,Bruce,Herrick,7767 OLYMPIC RD,MCALESTER, OK,74501,brherrick@gmail.com,,AM9-HOR-21K,Broadband Remote,EXPRESS REPAIR HOME WITH COMMITMENT WITH TERM,DPC Classic upgrade,1,24-11-1948,64,3,1,0,N
AMR-46436118,Active,3/26/2002,8/11/2003,Proplus,DW4000,,Indirect,RS&I,HNS Customers,William,Lorenzen,4318 SILVER LEAF RD 0 0,CUSICK, WA,99119,William.Lorenzen@aol.com,GOOD,SM5-VER-5K,Spaceway,0,DW6000 Upgrade,,27-4-1951,61,C,1,0,N
AMR-46437514,Active,3/6/2002,1/11/2005,Home,HN7000S,Sales Agents,Indirect,Hughes Web Order,HNS Customers,Bena,Fullmer,7955 HOUNDSVILLE MEADOWS HWY 0 0,WESTFORD, MA,1886,Ben.Fullmer@compuserve.com,BAD,G16-VER-15K,Broadband Remote,EXPRESS REPAIR HOME WITH COMMITMENT WITH TERM,Direct,2,27-3-1979,33,8,1,0,
AMR-46437559,Active,6/24/2001,12/28/2004,,DW4000,Sales Agents,Indirect,ACS Pre-Install,HNS Customers,Garry,CROVATINJR,19996 HARMONY CREEK 0 0 0,ELDORADO, WI,54932,Garry.CROVATINJR@gmail.com,,SPACEWAY3,Broadband Remote,0,HN7000 Upgrade,,13-3-1949,63,0,1,0,
AMR-46443346,Active,1/25/2002,4/4/2004,Elite,HN7000S,,Indirect,ACS,HNS Customers,Daniela,Despain,396 WOCUS 304 0 0 0,FREDERICKSBRG, VA,22407,Daniel.Despain@hotmail.com,,0,Broadband Remote,0,DW6000 Upgrade,2,14-3-1956,56,0,0,0,N
AMR-46449896,Active,5/28/2002,10/16/2005,Proplus,UNK,Retail/others,Direct,UNKNOWN,HNS Customers,David,Mathur,5069 BRISTERSBURG SPRINGS HILLS 0 0,LAMAR, MS,38642,David.Mathur@rossaweb.net,GOOD,HZN2-VER-4K,Spaceway,0,Dealer-Generated Sale,1,21-9-1985,27,8,1,1,N
AMR-46455362,Active,1/10/2002,5/25/2005,Pro,HN7000S,,Direct,LiveBridge Communications LLC,HNS Customers,Gregorya,Polasek,PO COUNTRY RD 0 0 0,W SPRINGFIELD, PA,16443,Gregory.Polasek@sipnsearch.com,BAD,0,Broadband Remote,0,Direct,1,23-12-1984,28,0,1,0,N
AMR-46470414,Active,8/19/2001,8/22/2003,Basic_Ltd,HN7000S,Web orders,Indirect,RS&I,HNS Customers,John,Graham,15353 E 799 0 0 63,WHITEHALL, MT,59759,John.Graham@sipnsearch.com,BAD,G17-HOR-6K,Spaceway,0,HN9000 Upgrade,1,24-7-1962,50,7,2,0,Y
AMR-46474649,Active,6/28/2001,12/5/2002,Power150,HN7000S,Vars,Indirect,NCC,HNS Customers,Daryl,Welch,3315 E DR 114A 0 0,PARK RAPIDS, MN,56470,Daryl.Welch@geeksquad.com,GOOD,G17-HOR-6K,Broadband Remote,0,DPC Classic upgrade,1,6-10-1966,46,0,1,1,N
AMR-46481781,Active,2/26/2002,4/5/2006,Home,HN7000S,,Indirect,Hughes Web Order,HNS Customers,Jennifer,Crihfield,27421 GREENPEACE RABBIT 0 MANOR 0,CHEHALIS, WA,98532,Jennifer.Crihfield@wexzone.com,BAD,G28-HOR-16K,Broadband Remote,0,Dial Return Upgrade,1,16-1-1956,56,7,0,0,N
AMR-46483847,Active,12/27/2001,12/23/2004,Basic_Ltd,HN7000S,Call Center,Indirect,TAG,HNS Customers,Pascal,Wells,1767 GEORGE 634 N 0 0,BANNING, CA,92220,Pascal.Wells@hughes.net,GOOD,SM5-VER-15K,Broadband Remote,0,Direct,1,13-3-1965,47,9,0,,N
AMR-46485766,Active,7/22/2001,7/28/2005,Elite,,Web orders,Direct,Perfect 10,HNS Customers,Phillip,Punches,14524 COUNTY ROAD 0 0 0,PLACERVILLE, CO,81430,Phillip.Punches@hotmail.com,BAD,SM5-VER-15K,Broadband Remote,0,DW6000 Upgrade,1,21-8-1950,62,6,1,0,N
AMR-46488474,Active,3/21/2002,3/2/2006,Pro,HN9000,,Indirect,Alpha Satellite (RSI568059),HNS Customers,James,BRUNHOUSEJR,5866 ECHO ROAD MOUNTAIN 0 0,LANDER, WY,82520,James.BRUNHOUSEJR@wexzone.com,GOOD,G17-HOR-2K,Broadband Remote,0,HN9000 Upgrade,1,26-3-1988,24,6,0,0,N
AMR-46488854,Active,12/7/2001,9/9/2003,Home,UNK,,Indirect,TAG,HNS Customers,Kena,Newman,5983 BOX AVE 0 0 0,FAIRPLAY, CO,80440,Ken.Newman@yahoo.com,GOOD,G17-HOR-6K,Broadband Remote,0,Dealer-Generated Sale,1,24-10-1953,59,3,0,0,N
AMR-46493420,Active,7/3/2003,8/17/2006,Power150,UNK,Retail/others,Direct,InfoDish,HNS Customers,Gerard,Keck,95 DEER DR RDG 0 0,GERMANTOWN, MD,20876,Gerard.Keck@hotmail.com,BAD,AM6-HOR-21K,Broadband Remote,0,DPC Classic upgrade,2,26-1-1954,58,0,1,0,N
AMR-46496544,Active,10/13/2001,10/29/2004,Elite,HN9000,Web orders,Indirect,NCC,HNS Customers,SCOTT,Frey,PO RED 1357 0 0 0,PERRINTON, MI,48871,SCOTT.Frey@hotmail.com,,SPACEWAY3,Broadband Remote,0,DPC Classic upgrade,1,22-7-1987,25,D,0,0,N
AMR-46498536,Active,3/9/2002,10/24/2005,Basic_Ltd,,Sales Agents,Indirect,LiveBridge Communications LLC,HNS Customers,Helen,Traylor,9805 SAWDEY RD 0 0 0,OBION, TN,38240,Helen.Traylor@yahoo.com,BAD,AM9-VER-2K ,Broadband Remote,0,DPC Classic upgrade,1,7-5-1983,29,7,1,1,N
AMR-46499262,Active,1/2/2002,10/2/2003,Basic_Ltd,DW6000,Retail/others,Direct,ACS Pre-Install,HNS Customers,Mauricea,FABRYCKI,HC DOGWOOD 19 CREEK 0 0,ASHLAND, VA,23005,Maurice.FABRYCKI@wexzone.com,,HZN-HOR-19K,Spaceway,0,HN7000 Upgrade,1,1-2-1959,53,0,0,0,
AMR-46500206,Active,4/1/2002,7/14/2005,Home,HN7000S,Web orders,Indirect,RS&I,HNS Customers,Leona,Selkee,8460 S RD 0 0 0,HAMILTON, MI,49419,Leon.Selkee@rossaweb.net,GOOD,AM6-HOR-21K,Broadband Remote,0,DW6000 Upgrade,2,8-3-1977,35,0,1,0,N
AMR-46500954,Active,11/29/2001,11/21/2003,,HN7000S,,Indirect,Perfect 10,HNS Customers,Monty,WHITE,656 DOGWOOD 9644 RDG 0 0,ROYAL, IL,61871,Monty.WHITE@yahoo.com,GOOD,HZN2-VER-8K,Broadband Remote,0,Retail       ,2,12-2-1982,30,3,1,1,
AMR-46501553,Active,7/16/2001,2/18/2004,,HN7000S,Retail/others,Direct,Hughes Web Order,HNS Customers,Juditha,Selkee,13454 PETIT RD RD 0 0,HOLBROOK, AZ,86025,Judith.Selkee@compuserve.com,BAD,AM9-HOR-19K,Broadband Remote,0,Classic Migration,2,18-8-1955,57,7,1,0,
AMR-46507220,Active,2/21/2002,11/29/2005,Pro,DW4020,Retail/others,Direct,LiveBridge Communications LLC,HNS Customers,Jeff,Huffer,66500 OAK RD,BATSON, TX,77519,lance22@aol.com,BAD,SM5-VER-1K,Broadband Remote,,HN7000 Upgrade,2,15-8-1954,58,9,1,0,N
AMR-46508037,Active,10/18/2001,12/7/2004,Basic_Ltd,UNK,Call Center,Indirect,InfoDish,HNS Customers,Thomasa,Marcus,10200 BOX HILL CT 0 0,GRAND LAKE, CO,80447,Thomas.Marcus@sipnsearch.com,BAD,G16-VER-21K,Broadband Remote,0,HN9000 Upgrade,2,28-6-1952,60,7,0,0,N
AMR-46510095,Active,5/23/2002,1/25/2005,Basic_Ltd,HN7000S,Vars,Indirect,RS&I,HNS Customers,Gerald,Minnick,123 4 RD 0 0 0,ASPEN, CO,81612,Gerald.Minnick@hughes.net,GOOD,AM6-HOR-21K,Spaceway,0,HN7000 Upgrade,2,12-6-1973,39,7,1,0,Y
AMR-46510714,Active,4/9/2002,4/3/2005,Power150,UNK,,Indirect,UNKNOWN,HNS Customers,Samuel,Ziegler,2292 S. 74 DR. 0 0,HERNANDO, MS,38632,Samuel.Ziegler@rossaweb.net,GOOD,SM5-VER-5K,Broadband Remote,0,DW6000 Upgrade,1,18-12-1947,65,6,1,0,N
AMR-46515100,Active,3/2/2002,7/29/2003,,HN7000S,,Indirect,,HNS Customers,Lennya,Smith,15208 SANTA FE NEW KNOXVILLE R,CARBONDALE, CO,81623,lennysmith@hughes.net,,AM9-HOR-19K,Broadband Remote,,Direct,1,.,.,,0,,
AMR-46515279,Active,6/28/2003,1/10/2005,Proplus,,,Indirect,ACS,HNS Customers,Waltera,Greenburg,4702 NW ST 2704 0 0,AVA, MO,65608,Walter.Greenburg@yahoo.com,,SPACEWAY3,Broadband Remote,0,HN9000 Upgrade,1,19-9-1981,31,8,1,0,N
AMR-46519501,Active,1/21/2002,10/10/2003,Elite,HN7000S,,Direct,Hughes Web Order,HNS Customers,JOHNa,Sr.,1316 AR MOUNTAIN 0 0 0,VALLEY CENTER, CA,92082,JOHN.Sr.@sipnsearch.com,BAD,SPACEWAY3,Broadband Remote,0,Dealer-Generated Sale,1,14-4-1965,47,5,0,0,Y
AMR-46523869,Active,1/4/2002,12/24/2003,Elite,DW7000,Retail/others,Indirect,Perfect 10,HNS Customers,Denise,Acott,PO RANCHO NAPERVILLE-PLAINFIELD 0 0 0,ROBERTS, MT,59070,Denise.Acott@yahoo.com,GOOD,AM9-VER-2K ,Spaceway,0,HN7000 Upgrade,2,17-4-1947,65,1,1,1,N
AMR-46524050,Active,7/23/2001,3/12/2003,Basic,HN9000,,Indirect,ACS,HNS Customers,Donald,Hart,1304 BOX PARRETT SE 0 0,ROCKVILLE, MD,20850,Donald.Hart@sipnsearch.com,GOOD,AM32-HOR-19K,Broadband Remote,0,DW6000 Upgrade,1,16-9-1965,47,0,1,1,N
AMR-46524916,Active,3/7/2002,9/23/2003,Pro,HN7000S,Retail/others,Indirect,RS&I,HNS Customers,KATHLEEN,Pomerening,PO BABBS BIRD PIKE 0 0,YAMHILL, OR,97148,KATHLEEN.Pomerening@compuserve.com,GOOD,SM5-VER-5K,Broadband Remote,0,HN9000 Upgrade,2,26-9-1974,38,7,0,0,N
AMR-46527072,Active,1/10/2002,10/22/2004,Power150,HN9000,Retail/others,Indirect,RS&I,HNS Customers,Clifford,Sesha,18960 W RD TRL 0 0,MARSHALL, VA,20115,Clifford.Sesha@gmail.com,,SPACEWAY3,Broadband Remote,0,National Sales,2,9-7-1952,60,0,0,,N
AMR-46528393,Active,1/2/2002,12/1/2003,Basic,HN7000S,Sales Agents,Direct,Perfect 10,HNS Customers,Dennisa,Feight,5509 CARPENTER AVE DR 0 0,GRUNDY, VA,24614,Dennis.Feight@rossaweb.net,GOOD,SM5-VER-15K,Broadband Remote,0,Retail       ,2,23-6-1968,44,4,1,0,N
AMR-46530543,Active,1/16/2002,5/8/2005,Basic,HN9000,Retail/others,Indirect,NCC,HNS Customers,Aprila,Lynch,1000 SPANISH DR STA. 0 0,STURGEON, MO,65284,April.Lynch@yahoo.com,,G3C-VER-24K,Spaceway,0,DW6000 Upgrade,1,14-6-1978,34,8,2,0,Y
AMR-46531699,Active,3/25/2002,10/30/2003,Basic_Ltd,DW4000,Retail/others,Indirect,UNKNOWN,HNS Customers,Matthewa,Christenson,5993 CALEDONIA LN RD 0 0,GOODE, VA,24556,Matthew.Christenson@geeksquad.com,GOOD,HZN2-VER-4K,Broadband Remote,0,HN9000 Upgrade,,10-9-1950,62,9,1,0,N
AMR-46541684,Active,4/19/2002,8/2/2004,Basic,HN9000,Vars,Indirect,ACS Pre-Install,HNS Customers,Stephen,Broome,1013 E SAINT STEPHENS RD,WEST RICHLAND, WA,99353,fasttalker@stevebroome.com,,SPACEWAY3,Spaceway,,HN9000 Upgrade,1,.,.,3,0,0,N
AMR-46554038,Active,10/31/2001,2/20/2005,Basic_Ltd,HN7000S,,Direct,Verisign Web Ordering,HNS Customers,Paul,Dove,4198 P.R. RD 1943 0 0,BEVERLY HILLS, CA,90210,Paul.Dove@geeksquad.com,GOOD,HZN2-VER-4K,Broadband Remote,0,Direct,1,6-7-1965,47,0,1,0,N
AMR-46555604,Active,1/1/1900,9/7/1903,,HN7000S,,Indirect,InfoDish,HNS Customers,Richard,Snowden,780 KANAMAN CASCABEL 0 0 0,NEW CUMBERLND, WV,26047,Richard.Snowden@hughes.net,BAD,AM6-HOR-21K,Broadband Remote,0,Retail       ,,6-11-1983,29,5,0,0,N
AMR-46556294,Active,1/25/2002,3/30/2005,Home,,Call Center,Indirect,Hughes Web Order,HNS Customers,Joannea,Urso,1735 28TH RD RD 0 0,OKLAHOMA CITY, OK,73165,Joanne.Urso@hughes.net,BAD,SM5-VER-5K,Broadband Remote,0,Dealer-Generated Sale,2,6-2-1983,29,8,2,0,
AMR-46560076,Active,10/2/2001,10/19/2004,Basic,HN9000,Vars,Indirect,ACS Pre-Install,HNS Customers,Gene,Lawson,1735 BOX COACH LN 0 0,FRANKLIN, TN,37064,Gene.Lawson@geeksquad.com,GOOD,SM5-HOR-14K,Spaceway,0,HN9000 Upgrade,2,11-3-1968,44,7,1,1,N
AMR-46560775,Active,12/4/2001,6/17/2004,Proplus,HN7000S,Vars,Direct,TAG,HNS Customers,Stephen,Goforth,371 DIGGER 31 0 0 0,MARSHALL, VA,20115,Stephen.Goforth@aol.com,GOOD,G3C-VER-21K,Broadband Remote,0,HN7000 Upgrade,2,14-12-1959,53,4,1,1,
AMR-46560798,Active,2/2/2002,11/18/2005,Elite,DW7000,,Indirect,AmericanSat,HNS Customers,Doris,Church,2206 BLOOM ROMEO RD 0 0,UNIONTOWN, AR,72955,Doris.Church@wexzone.com,BAD,SM5-VER-1K,Broadband Remote,0,Direct,1,3-1-1989,23,A,0,0,N
AMR-46561363,Active,7/14/2001,10/17/2004,Basic,HN9000,Call Center,Indirect,Hughes Web Order,HNS Customers,Arthur,Babinec,7085 THOMPSON SLAYDEN 0 0 0,ATOKA, OK,74525,Arthur.Babinec@wexzone.com,BAD,AM32-HOR-19K,Spaceway,0,Direct,1,23-8-1967,45,2,0,0,
AMR-46562044,Active,3/13/2002,12/25/2004,Basic_Ltd,HN7000S,Call Center,Indirect,,HNS Customers,Jeana,Hagins,10313 KELLEY ROMEO 0 0 0,VIOLA, DE,19979,Jean.Hagins@sipnsearch.com,GOOD,SM5-VER-15K,Broadband Remote,0,DW6000 Upgrade,1,19-2-1979,33,9,0,,N
AMR-46562070,Active,10/11/2001,5/21/2005,Basic,UNK,Vars,Direct,TAG,HNS Customers,TIMa,Murdoch,791 VLAARDINGEN INA 0 0 0,BAKER CITY, OR,97814,TIM.Murdoch@hughes.net,GOOD,SM5-VER-15K,Spaceway,0,Dealer-Generated Sale,2,21-4-1959,53,4,0,0,
AMR-46564286,Active,3/29/2002,9/10/2004,Proplus,,,Indirect,AmericanSat,HNS Customers,Joe,Seemiller,220 FAMILY LANDING 0 0 0,HYAMPOM, CA,96046,Joe.Seemiller@wexzone.com,GOOD,SM5-VER-1K,Spaceway,0,0,,27-7-1949,63,8,0,,N
AMR-46565055,Active,11/29/2001,1/1/2004,Pro,DW4000,Web orders,Indirect,AmericanSat,HNS Customers,Katharine,Bridge,33166 TINSLEY MANNING 0 0 0,PILOT ROCK, OR,97868,Katharine.Bridge@aol.com,GOOD,0,Broadband Remote,0,Retail       ,1,25-4-1989,23,6,1,0,N
AMR-46569992,Active,4/9/2002,10/28/2003,,HN9000,Web orders,Direct,LiveBridge Communications LLC,HNS Customers,Travisa,Boehm,28700 CURTIS HILL 1604 0 0,STURGEON, MO,65284,Travis.Boehm@hughes.net,BAD,0,Spaceway,0,HN7000 Upgrade,2,8-11-1988,24,0,1,1,N
